controller,scenario,success,rmse_h,max_abs_h,rmse_theta_deg,max_abs_theta_deg,rmse_v,sat_ratio,failure_reason,qp_success_ratio,qp_solver_success_ratio,qp_fallback_ratio,mean_qp_iterations,max_qp_eq_residual,max_qp_ineq_violation,max_qp_friction_ratio,max_qp_leg_slack,max_qp_height_slack
rl_ppo,A_impulse_push,1,0.00627052,0.00701438,2.16455,2.30312,0.207828,0,none,,,,,,,,,
rl_ppo_feedforward,A_impulse_push,0,0.0259257,0.0452571,13.9928,30.5014,1.099,0,theta_fail,,,,,,,,,
rl_ppo,B_constant_push,1,0.00649313,0.00758599,2.61278,2.75236,0.378049,0,none,,,,,,,,,
rl_ppo_feedforward,B_constant_push,0,0.0234167,0.0449126,13.2976,30.0444,0.785691,0,theta_fail,,,,,,,,,
rl_ppo,C_rough_terrain,1,0.0160703,0.065041,2.21181,2.60334,0.456717,0.0337079,none,,,,,,,,,
rl_ppo_feedforward,C_rough_terrain,0,0.0397451,0.0776455,13.5875,30.5502,1.07299,0,theta_fail,,,,,,,,,
rl_ppo,C_noise_terrain,1,0.00771681,0.0126452,2.16238,2.31007,0.203843,0,none,,,,,,,,,
rl_ppo_feedforward,C_noise_terrain,0,0.0254933,0.0442532,13.9713,30.4463,1.09924,0,theta_fail,,,,,,,,,
rl_ppo,D_large_irregular_terrain,1,0.00697024,0.0143683,2.18999,2.37638,0.242131,0,none,,,,,,,,,
rl_ppo_feedforward,D_large_irregular_terrain,0,0.0214216,0.0338517,14.053,30.5124,1.10875,0,theta_fail,,,,,,,,,
rl_ppo,E_combined_stress,1,0.00682578,0.0126715,2.61513,2.79479,0.31866,0.00166459,none,,,,,,,,,
rl_ppo_feedforward,E_combined_stress,0,0.024252,0.0409566,13.4314,30.0729,0.978232,0,theta_fail,,,,,,,,,
rl_ppo,F_high_speed_flat,1,0.0174302,0.0695724,3.00367,4.0707,0.520044,0.0466084,none,,,,,,,,,
rl_ppo_feedforward,F_high_speed_flat,0,0.0314939,0.0580943,13.5687,30.1967,2.49156,0,theta_fail,,,,,,,,,
rl_ppo,G_requirement_boundary,1,0.010703,0.0401686,3.01753,3.45545,0.636422,0.0432792,none,,,,,,,,,
rl_ppo_feedforward,G_requirement_boundary,0,0.0268613,0.0439695,13.3762,30.3752,1.50583,0,theta_fail,,,,,,,,,
