controller,scenario,success,rmse_h,max_abs_h,rmse_theta_deg,max_abs_theta_deg,rmse_v,sat_ratio,failure_reason,qp_success_ratio,qp_solver_success_ratio,qp_fallback_ratio,mean_qp_iterations,mean_qp_solve_time_ms,max_qp_solve_time_ms,max_qp_primal_residual,max_qp_dual_residual,max_qp_eq_residual,max_qp_ineq_violation,max_qp_friction_ratio,max_qp_leg_slack,max_qp_height_slack,rmse_v_steady_t_ge_2,sat_ratio_wheel,sat_ratio_knee,sat_ratio_hip,jerk_proxy,torque_energy
lqr,A_impulse_push,1,0.0131259,0.0452179,0.183444,0.550904,0.277174,0,none,,,,,,,,,,,,,,0.0411529,0,0,0,410.962,156890
wbc_qp,A_impulse_push,1,1.1158e-07,1.29582e-07,3.19791e-06,4.54115e-06,0.13672,0,none,1,1,0,69.1011,0.0242009,0.079208,9.9879e-14,1.36242e-10,1.13687e-13,0,0.3846,0,0,0.0553427,0,0,0,438.969,160711
rl_ppo,A_impulse_push,1,0.00627052,0.00701438,2.16455,2.30312,0.207828,0,none,,,,,,,,,,,,,,0.0612216,0,0,0,424.312,157540
rl_ppo_feedforward,A_impulse_push,1,0.00883138,0.0107057,4.5823,5.29355,1.90226,0,none,,,,,,,,,,,,,,1.96814,0,0,0,398.529,150516
rl_ppo_direct,A_impulse_push,1,0.00118581,0.00202614,0.453123,1.71523,0.0331944,0,none,,,,,,,,,,,,,,0.0319228,0,0,0,513.64,161322
lqr,B_constant_push,1,0.0329713,0.0369563,0.61277,0.72667,0.716189,0,none,,,,,,,,,,,,,,0.779114,0,0,0,14.7809,154773
wbc_qp,B_constant_push,1,1.02392e-07,1.28233e-07,2.50918e-06,4.44615e-06,0.194735,0,none,1,1,0,98.6891,0.0344958,0.082875,1.08665e-13,6.95979e-11,1.13687e-13,0,0.372557,0,0,0.141779,0,0,0,46.6016,139026
rl_ppo,B_constant_push,1,0.00649313,0.00758599,2.61278,2.75236,0.378049,0,none,,,,,,,,,,,,,,0.383126,0,0,0,27.0761,137904
rl_ppo_feedforward,B_constant_push,1,0.0218431,0.0271136,3.46214,5.01642,4.14001,0,none,,,,,,,,,,,,,,4.75429,0,0,0,0.142443,180518
rl_ppo_direct,B_constant_push,1,0.00591087,0.00646457,1.38255,1.61868,0.0373957,0,none,,,,,,,,,,,,,,0.0301137,0,0,0,275.667,142151
lqr,C_rough_terrain,1,0.0351432,0.119959,0.337325,0.935526,0.563742,0,none,,,,,,,,,,,,,,0.184464,0,0,0,4984.69,159339
wbc_qp,C_rough_terrain,1,0.000199234,0.000669483,0.00556462,0.012496,0.162961,0.0291303,none,1,1,0,256.149,0.0915893,1.11692,3.26579e-13,5.55459e-10,3.12639e-13,0,0.721906,0,0,0.0567633,0,0.0873908,0,142.449,171683
rl_ppo,C_rough_terrain,1,0.0160703,0.065041,2.21181,2.60334,0.456717,0.0337079,none,,,,,,,,,,,,,,0.190199,0,0.101124,0,4531.24,164298
rl_ppo_feedforward,C_rough_terrain,1,0.0167545,0.0347597,4.81623,5.73099,1.96207,0,none,,,,,,,,,,,,,,2.04438,0,0,0,0.0142106,192628
