controller,scenario,success,rmse_h,max_abs_h,rmse_theta_deg,max_abs_theta_deg,rmse_v,sat_ratio,failure_reason
lqr,A_impulse_push,1,0.00346442,0.0121094,0.215599,1.00146,0.115237,0,none
wbc_qp,A_impulse_push,1,1.00679e-06,2.12283e-06,9.19125e-06,2.37136e-05,0.167974,0,none
rl_ppo,A_impulse_push,1,0.00788969,0.00874325,0.720845,1.48018,0.208433,0,none
rl_ppo_direct,A_impulse_push,1,0.0024566,0.00396925,0.176188,0.497943,0.0344069,0,none
lqr,B_constant_push,1,0.0767949,0.0816501,4.12508,4.28564,0.2503,0,none
wbc_qp,B_constant_push,1,6.51318e-07,1.92953e-06,6.57288e-06,2.05438e-05,0.251906,0,none
rl_ppo,B_constant_push,1,0.00889838,0.0100004,0.418053,1.32081,0.311864,0,none
rl_ppo_direct,B_constant_push,1,0.00218485,0.00234412,0.252727,0.682471,0.0230732,0,none
lqr,C_rough_terrain,1,0.0143219,0.0250137,0.0769708,0.135477,0.287322,0,none
wbc_qp,C_rough_terrain,1,0.00964621,0.016053,0.0523071,0.0937519,0.166519,0.124012,none
rl_ppo,C_rough_terrain,1,0.01127,0.0192163,0.767449,1.49236,0.456583,0.0578444,none
rl_ppo_direct,C_rough_terrain,1,0.00494035,0.00896969,0.276923,0.495754,0.0341436,0,none
lqr,C_noise_terrain,1,0.00178917,0.00572958,0.0100375,0.0346833,0.11073,0,none
wbc_qp,C_noise_terrain,1,0.000855631,0.00456551,7.30231e-06,2.10866e-05,0.16801,0.000416146,none
rl_ppo,C_noise_terrain,1,0.00795733,0.0106572,0.720756,1.48201,0.202944,0,none
rl_ppo_direct,C_noise_terrain,1,0.00390417,0.00757997,0.189896,0.300902,0.0327114,0,none
lqr,D_large_irregular_terrain,1,0.0146339,0.031004,0.0792534,0.169623,0.171402,0,none
wbc_qp,D_large_irregular_terrain,1,0.0241807,0.0477414,0.140655,0.352996,0.169657,0.157303,none
rl_ppo,D_large_irregular_terrain,1,0.0124674,0.0304402,0.76082,1.49623,0.242246,0.0486891,none
rl_ppo_direct,D_large_irregular_terrain,1,0.00430623,0.0114779,0.247042,0.610665,0.03427,0.0124844,none
lqr,E_combined_stress,1,0.0845448,0.119833,3.26729,4.433,0.23137,0.0470246,none
wbc_qp,E_combined_stress,0,0.0542896,0.149481,0.307765,0.909379,0.577319,0.135556,height_fail
rl_ppo,E_combined_stress,1,0.0333882,0.0632412,0.470331,1.29632,0.315249,0.163129,none
rl_ppo_direct,E_combined_stress,1,0.0108206,0.0282005,0.316031,1.46798,0.0336038,0.131918,none
