controller,scenario,success,rmse_h,max_abs_h,rmse_theta_deg,max_abs_theta_deg,rmse_v,sat_ratio,failure_reason,qp_success_ratio,qp_solver_success_ratio,qp_fallback_ratio,mean_qp_iterations,mean_qp_solve_time_ms,max_qp_solve_time_ms,max_qp_primal_residual,max_qp_dual_residual,max_qp_eq_residual,max_qp_ineq_violation,max_qp_friction_ratio,max_qp_leg_slack,max_qp_height_slack
rl_ppo,A_impulse_push,1,0.00627052,0.00701438,2.16455,2.30312,0.207828,0,none,,,,,,,,,,,,,
rl_ppo_feedforward,A_impulse_push,1,0.00883138,0.0107057,4.5823,5.29355,1.90226,0,none,,,,,,,,,,,,,
rl_ppo_direct,A_impulse_push,1,0.10231,0.125487,1.80704,2.72734,5.5425,0.051186,none,,,,,,,,,,,,,
rl_ppo,B_constant_push,1,0.00649313,0.00758599,2.61278,2.75236,0.378049,0,none,,,,,,,,,,,,,
rl_ppo_feedforward,B_constant_push,1,0.0218431,0.0271136,3.46214,5.01642,4.14001,0,none,,,,,,,,,,,,,
rl_ppo_direct,B_constant_push,1,0.123461,0.132072,1.76702,2.79779,2.59818,0.0116521,none,,,,,,,,,,,,,
rl_ppo,C_rough_terrain,1,0.0160703,0.065041,2.21181,2.60334,0.456717,0.0337079,none,,,,,,,,,,,,,
rl_ppo_feedforward,C_rough_terrain,1,0.0167545,0.0347597,4.81623,5.73099,1.96207,0,none,,,,,,,,,,,,,
rl_ppo_direct,C_rough_terrain,1,0.0859722,0.104347,0.657363,1.02674,2.00029,0.190179,none,,,,,,,,,,,,,
rl_ppo,C_noise_terrain,1,0.00771681,0.0126452,2.16238,2.31007,0.203843,0,none,,,,,,,,,,,,,
rl_ppo_feedforward,C_noise_terrain,1,0.0088819,0.0110658,4.74189,5.27491,1.97375,0,none,,,,,,,,,,,,,
rl_ppo_direct,C_noise_terrain,1,0.102952,0.124977,1.72096,2.6046,5.25627,0.0707449,none,,,,,,,,,,,,,
rl_ppo,D_large_irregular_terrain,1,0.00697024,0.0143683,2.18999,2.37638,0.242131,0,none,,,,,,,,,,,,,
rl_ppo_feedforward,D_large_irregular_terrain,1,0.0338243,0.0704937,4.10001,6.39614,1.97539,0.158968,none,,,,,,,,,,,,,
rl_ppo_direct,D_large_irregular_terrain,1,0.0990536,0.133662,1.78449,2.7191,5.03492,0.0761548,none,,,,,,,,,,,,,
rl_ppo,E_combined_stress,1,0.00682578,0.0126715,2.61513,2.79479,0.31866,0.00166459,none,,,,,,,,,,,,,
rl_ppo_feedforward,E_combined_stress,1,0.0197953,0.0320401,4.46507,6.588,2.97891,0.0728256,none,,,,,,,,,,,,,
rl_ppo_direct,E_combined_stress,0,0.103425,0.150077,2.15741,2.82528,1.63809,0.079096,height_fail,,,,,,,,,,,,,
rl_ppo,F_high_speed_flat,1,0.0174302,0.0695724,3.00367,4.0707,0.520044,0.0466084,none,,,,,,,,,,,,,
rl_ppo_feedforward,F_high_speed_flat,1,0.0157067,0.0195346,5.43827,8.7344,3.648,0,none,,,,,,,,,,,,,
rl_ppo_direct,F_high_speed_flat,1,0.0936758,0.139241,5.96942,8.07957,13.9416,0.00790678,none,,,,,,,,,,,,,
rl_ppo,G_requirement_boundary,1,0.010703,0.0401686,3.01753,3.45545,0.636422,0.0432792,none,,,,,,,,,,,,,
rl_ppo_feedforward,G_requirement_boundary,1,0.0242716,0.0414372,3.14154,3.90085,4.52191,0.0998752,none,,,,,,,,,,,,,
rl_ppo_direct,G_requirement_boundary,1,0.122681,0.145681,6.69001,8.02136,9.5134,0.00790678,none,,,,,,,,,,,,,
